transaction_id,customer_id,transaction_date,amount,currency,transaction_type,channel,merchant_name,merchant_category,location_country,location_city,is_flagged
d9350942-df75-433f,2392f6c4-2dc8-458f,2022-10-26 08:24:16,3855.0,JPY,deposit,telephone,BigBasket,Home & Garden,Japan,Tokyo,False
13ea08f8-862e-434b,f9f5b3f8-8ac3-4736,2023-09-11 16:20:12,2979.6,QAR,deposit,ATM,BigBasket,Health & Beauty,Qatar,Al Khor,False
28f6a9b3-8098-4501,72e0a9f2-d00a-4740,2023-11-08 15:16:29,4208.66,JPY,deposit,in-branch,eBay,Electronics,Japan,Osaka,False
72b7fd37-7e95-459b,4d98c02e-3cbf-41ba,2023-05-10 11:02:58,9382.44,QAR,refund,telephone,Saturn,Electronics,Qatar,Al Khor,True
3ad7da69-c2c5-40d3,c422f4e8-d382-476a,2023-05-26 20:03:00,107.87,QAR,purchase,telephone,Mediamarkt,Fashion,Qatar,Doha,False
5ff1bdaa-4389-429b,ec0a19b6-d3ab-44c7,2023-04-23 10:04:35,6562.51,USD,purchase,mobile,BigBasket,Home & Garden,United States,Seattle,True
811b03a6-7369-4937,d3866002-2488-4c1c,2022-11-23 05:36:15,8175.59,JPY,purchase,mail,eBay,Home & Garden,Japan,Tokyo,False
eae5ae3e-4550-45a3,75f45670-8b33-464b,2023-07-13 02:39:45,7655.17,QAR,transfer,mobile,Rakuten,Electronics,Qatar,Al Khor,False
f96f2bdd-398e-44cd,82aadf69-c2e8-4dd9,2023-05-06 20:19:01,222.34,EUR,transfer,mobile,Temu,Sports & Outdoors,Germany,Stuttgart,False
50999245-0910-43cc,b5de7bd2-faeb-496e,2024-07-04 06:31:57,158.18,INR,refund,telephone,Allegro,Sports & Outdoors,India,Jaipur,False
8d8fc596-2eb5-49d9,53800009-b900-4071,2022-09-04 09:54:07,6322.18,EUR,deposit,in-branch,Uniqlo,Home & Garden,Germany,Nuremberg,False
691bffe9-c452-439a,c2a57be1-3da9-48f7,2022-12-02 23:35:34,750.61,EUR,transfer,in-branch,Zalando,Electronics,Germany,Dresden,False
e4a521e1-3c78-4a98,c80ff50c-be80-4083,2024-01-10 17:36:43,3111.35,JPY,transfer,in-branch,Target,Sports & Outdoors,Japan,Fukuoka,False
97898edc-aef3-4308,4571f214-ce93-43b2,2024-07-05 05:23:20,9880.31,QAR,deposit,online,Saturn,Home & Garden,Qatar,Al Rayyan,False
b63e50c5-3d45-4f3a,d17fba0e-9661-4d38,2024-06-16 07:51:51,3655.73,AED,refund,telephone,Rakuten,Home & Garden,UAE,Abu Dhabi,False
907d0c4a-3a02-455b,86c1f823-0063-4187,2022-11-30 22:56:48,9196.45,AED,purchase,telephone,Saturn,Electronics,UAE,Dubai,False
61c900f2-5eac-428b,086b06a2-62ac-42bd,2023-07-02 01:35:06,128.04,USD,refund,in-branch,Mediamarkt,Sports & Outdoors,United States,Boston,False
7480d635-102b-4f91,13500c21-a683-4d2e,2024-06-30 07:04:00,7162.69,GBP,purchase,telephone,Allegro,Electronics,United Kingdom,Bristol,False
43e13b20-5cb3-4853,47c20501-249b-4a8a,2023-09-24 04:45:50,8456.33,AED,refund,mail,Lazada,Electronics,UAE,Abu Dhabi,False
4257c9d5-7d03-4549,3c486e2b-2f1b-4191,2024-08-07 13:15:45,42.9,USD,transfer,mobile,eBay,Fashion,United States,Seattle,False
84a2f9ba-59d8-433a,78e881b2-4e7b-4e38,2023-10-23 14:10:59,5442.84,USD,refund,mobile,Allegro,Fashion,United States,Dallas,False
3124f492-5661-4e6d,8fc032ea-8bb9-4006,2023-02-20 04:27:59,8310.81,GBP,payment,online,Temu,Health & Beauty,United Kingdom,Leeds,True
769f0bb9-3613-47fa,01e4e170-1887-43d7,2024-03-20 09:30:40,1129.79,INR,payment,mail,Lazada,Sports & Outdoors,India,Kolkata,False
d194f67a-c580-434e,5d66c438-3ec5-40c8,2023-06-09 09:56:00,1352.76,EUR,purchase,ATM,ASOS,Home & Garden,Germany,Leipzig,False
1c158a00-f8e2-4a54,fd7a5dcc-d66a-478b,2023-03-31 02:34:10,8966.52,QAR,deposit,in-branch,Target,Fashion,Qatar,Doha,False
f4761089-73f8-4ad5,6097db27-6d75-4a62,2023-02-23 09:59:46,4441.85,INR,transfer,ATM,ASOS,Fashion,India,Kolkata,False
71c52601-a78f-4ea9,1d8001b6-2ddf-4007,2023-03-26 13:49:39,8590.25,EUR,purchase,mobile,Allegro,Sports & Outdoors,Germany,Leipzig,True
1628e274-9389-4aa9,544d6c34-ac10-4fdb,2023-08-11 09:09:55,7304.0,EUR,transfer,in-branch,Uniqlo,Sports & Outdoors,Germany,Dresden,False
560faf0b-d3c1-4229,422069db-af1f-47a2,2024-07-04 06:31:52,6763.48,JPY,payment,mobile,Rakuten,Electronics,Japan,Tokyo,False
43ee4fbe-3dee-4a60,99d8439a-7f6c-4c2e,2023-08-22 20:14:55,7005.37,USD,deposit,mobile,Temu,Home & Garden,United States,Miami,False
703c76aa-1850-4650,f1f68032-84c8-4b85,2023-04-16 13:35:51,659.1,JPY,refund,online,Saturn,Fashion,Japan,Sapporo,False
79408b89-515e-4505,245a0539-a016-46cb,2024-07-05 02:37:18,1166.5,QAR,transfer,in-branch,BigBasket,Fashion,Qatar,Doha,False
b43ebbb4-4b47-448c,a068467b-eafd-4619,2023-07-24 15:29:45,7005.02,USD,deposit,ATM,ASOS,Health & Beauty,United States,San Francisco,False
2e9441aa-7805-4bf5,57b4dc59-4dbe-493b,2024-06-15 16:15:17,9511.79,GBP,payment,mobile,Uniqlo,Fashion,United Kingdom,Leeds,False
095c0cd1-e612-4e89,fe5b5edb-e917-4d60,2023-10-12 16:42:07,5883.64,JPY,withdrawal,mobile,Rakuten,Fashion,Japan,Fukuoka,False
09f83333-d36f-402d,8f1e8910-8407-4e0a,2023-01-21 00:47:14,5218.84,EUR,deposit,mail,BigBasket,Sports & Outdoors,Germany,Leipzig,False
261ff706-780c-480a,b99ccaa5-6a81-42ea,2023-02-10 21:06:53,8168.88,AED,refund,in-branch,Target,Electronics,UAE,Al Ain,False
db85502a-3b65-4cfd,46ab2738-d484-40ae,2023-09-22 21:46:31,8330.78,EUR,withdrawal,online,Zalando,Health & Beauty,Germany,Stuttgart,False
6644e75f-cbcd-489b,cdc24150-445c-46ce,2023-07-23 22:56:34,2193.68,AED,transfer,in-branch,Rakuten,Fashion,UAE,Dubai,False
92eb673e-2c0b-4b2d,bcd65ff9-77ee-4650,2023-11-22 05:02:13,2604.72,EUR,purchase,mail,Rakuten,Home & Garden,Germany,Nuremberg,True
a9fa7bf9-f76f-46f7,be55f6f4-40dc-4949,2024-07-26 12:35:15,6758.22,INR,payment,in-branch,BigBasket,Sports & Outdoors,India,Pune,False
9a6bc902-bcda-4c51,6d2e8032-1c31-4277,2023-06-14 04:25:49,386.58,EUR,refund,in-branch,BigBasket,Home & Garden,Germany,Dresden,False
d2f6ade2-a307-4186,fa4747d7-9276-49d3,2023-07-22 06:35:12,9981.85,QAR,purchase,mail,eBay,Sports & Outdoors,Qatar,Al Rayyan,False
f913c0f3-c58e-409e,894042c1-bd00-49b2,2023-10-16 14:12:14,1394.43,EUR,purchase,mail,Saturn,Electronics,Germany,Leipzig,True
143e37ab-bccb-4e9b,0f0d8ce8-2839-462f,2023-11-20 04:08:06,7952.96,JPY,deposit,mail,Temu,Electronics,Japan,Nagoya,False
c014d232-1cb2-43d6,b39b480f-fd8c-423b,2024-06-05 09:46:04,5692.18,EUR,payment,telephone,Rakuten,Health & Beauty,Germany,Nuremberg,False
d5460312-d6bc-4e7b,5e7fe11b-b030-4146,2022-11-05 20:46:14,3494.5,INR,deposit,mobile,Mediamarkt,Electronics,India,Pune,True
f3e58f47-44fa-4702,4d89063e-d3bc-4363,2023-02-20 09:23:52,1474.36,EUR,transfer,mail,Temu,Electronics,Germany,Nuremberg,False
a2e161b7-b96c-48d2,56735328-bfdc-4b47,2023-07-09 14:00:32,9160.42,USD,deposit,online,eBay,Fashion,United States,Boston,False
8e829786-9146-4aea,89554b55-a5fe-45c2,2023-08-29 02:37:31,1350.86,USD,deposit,in-branch,ASOS,Health & Beauty,United States,Miami,False
91f7a888-f9f7-4cfe,d5e290a4-f9b8-4bbf,2024-02-29 18:34:59,9409.91,USD,payment,ATM,BigBasket,Fashion,United States,San Francisco,False
